Accredited Research Institution,Link
Accenture Global Solutions Limited,https://www.accenture.com/ie-en
Adama Innovations Ltd, https://www.adama.tips/
Aphelion Ltd, https://aphelion-group.com/index.php/en/
ARUP,https://www.arup.com/offices/ireland
Athlone Institute of Technology,https://www.ait.ie/
Aylien Ltd,https://aylien.com/
Bantry Marine Research Station,https://www.bmrs.ie/
BD Research Centre Ireland Ltd,https://www.bdcareers.ie/locations/bd-research-centre-ireland-rci-limerick/
Birdwatch Ireland,https://birdwatchireland.ie/
Blafar Ltd,http://blafar.com/
Brainwave Bank Ltd,https://www.brainwavebank.com/
Businesspoint Intelligence Solutions Ltd,NA
Cell Stress Discoveries Ltd,https://cellstressdiscoveries.com/
Cork Institute of Technology,https://www.cit.ie/
Creme Software Ltd,https://www.cremeglobal.com/
Critical Path Institute Limited,https://c-path.org/
CyberColloids Ltd,http://www.cybercolloids.net/
Dublin City University,https://www.dcu.ie/
Dublin Institute of Advanced Studies,https://www.dias.ie/
Dundalk Institute of Technology,https://www.dkit.ie/
EirGen Pharma Ltd,https://eirgen.com/
EMC Information Systems International,NA
FotoNation,https://www.fotonation.com/
Fujitsu (Ireland) Ltd.,https://www.fujitsu.com/ie/
Galway Clinic Doughiska Limited,https://www.galwayclinic.com/
Galway-Mayo Institute of Technology,https://www.gmit.ie/
Genomics Medicine Ireland Limited,https://genomicsmed.ie/
Glencree Centre for Peace and Reconciliation,https://www.glencree.ie/
Global Business Register Limited,NA
Global Oncology Services Ltd,https://globalonc.org/
IBM International Holdings - Ireland,https://www.ibm.com/ie-en
Impedans Limited,https://impedans.com/
Institute of Public Health,https://www.publichealth.ie/
Institute of Technology Sligo,https://www.itsligo.ie/
"Institute of Technology, Tralee",https://www.ittralee.ie/en/
Irish Manufacturing Research Limited,http://imr.ie/
Irish Traditional Music Archive,https://www.itma.ie/
Kimmage Development Studies Centre,https://www.maynoothuniversity.ie/international-development
Letterkenny Institute of Technology,https://www.lyit.ie/
Limerick Institute of Technology,https://lit.ie/
LM Ericsson Limited,https://www.ericsson.com/en/about-us/company-facts/ericsson-worldwide/ireland
Logitech Ireland Services Ltd,https://www.logitech.com/en-roeu
Marine Institute,https://www.marine.ie/Home/home
Maynooth University,https://www.maynoothuniversity.ie/
Monaghan Biosciences,http://monaghanbio.com/wordpress/
"National Cancer Registry, Ireland",https://www.ncri.ie/
National Institute for Bioprocessing Research and Training,https://www.nibrt.ie/
National University of Ireland Galway,http://www.nuigalway.ie/
Neuromod Devices Limited,https://www.neuromoddevices.com/
Nokia Bell Labs,https://www.bell-labs.com/connect/global-locations/ireland/
Oncomark Limited,https://www.oncomark.com/
ORRECO Ltd.,https://orreco.com/
Pilot Photonics Ltd,https://www.pilotphotonics.com/
ReachOut Ireland CLG,https://www.lenus.ie/handle/10147/617015
Realtime Technologies Ltd.,http://www.realtime.ie/
Royal College of Physicians of Ireland,https://www.rcpi.ie/
Royal College of Surgeons in Ireland,https://www.rcsi.com/dublin/
Royal Irish Academy,https://www.ria.ie/
Sulzer Pump Solutions Ireland Ltd,https://www.sulzer.com/en/shared/services/dublin-service-center
Superlum Diodes,https://www.superlumdiodes.com/
T.E. Laboratories,https://tellab.ie/
Teagasc,https://www.teagasc.ie/
Technological University Dublin,https://tudublin.ie/
The Economic and Social Research Institute,https://www.esri.ie/
The Irish College of General Practitioners,https://www.icgp.ie/
TobaccoFree Research Institute Ireland,http://www.tri.ie/
Trinity College Dublin,https://www.tcd.ie/
United Technologies Research Centre Ireland Ltd.,http://www.utrc.utc.com/
University College Cork,https://www.ucc.ie/en/
University College Dublin,https://www.ucd.ie/
University of Limerick,https://www.ul.ie/
Valitacell Ltd,https://www.valitacell.com/
Waterford Institute of Technology,https://www.wit.ie/
Xilinx Ireland,https://careers.xilinx.com/search/jobs/in/ireland-ireland
