skill,link

Data literacy,https://www.edx.org/micromasters/mitx-statistics-and-data-science
Creativity,https://www.coursera.org/learn/boosting-creativity-innovation
Innovation,https://www.coursera.org/learn/uva-darden-design-thinking-innovation
Coding,https://www.coursera.org/specializations/python
Collaboration,https://www.coursera.org/learn/creativity-toolkit-2
Emotional Intelligence,https://www.coursera.org/learn/emotional-intelligence-in-leadership
User Experience,https://www.coursera.org/specializations/ui-ux-design
Mathematical Thinking,https://www.coursera.org/learn/mathematical-thinking
Communication,https://www.coursera.org/learn/communication

